City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Birjand,IR,32.87,59.22,66.2,22,0,9.17,clear sky
268,San Luis,AR,-33.3,-66.34,66.69,26,0,8.03,clear sky
269,Lorengau,PG,-2.02,147.27,82.62,76,100,5.55,overcast clouds
270,Maiduguri,NG,11.85,13.16,72.61,91,76,3.36,broken clouds
271,Manokwari,ID,-0.87,134.08,78.85,73,100,4.03,overcast clouds
272,Dingle,PH,11.0,122.67,76.51,85,99,1.9,overcast clouds
273,Lata,PT,40.16,-8.33,73.99,56,0,4.7,clear sky
274,Rosarito,MX,32.33,-117.03,80.6,64,20,12.75,few clouds
275,Ziro,IN,27.63,93.83,58.12,100,100,0.81,light rain
276,Krasnyy Chikoy,RU,50.36,108.75,45.55,86,0,1.07,clear sky
277,Qui Nhon,VN,13.77,109.23,78.57,87,94,3.62,overcast clouds
278,Najran,SA,17.49,44.13,80.6,21,0,4.7,clear sky
279,Port-Cartier,CA,50.03,-66.87,64.4,63,75,4.7,broken clouds
280,Sangolqui,EC,-0.33,-78.45,71.6,43,75,12.75,broken clouds
281,Salalah,OM,17.02,54.09,80.6,83,75,3.36,broken clouds
282,Severo-Kurilsk,RU,50.68,156.12,53.28,92,100,15.41,overcast clouds
283,Jalu,LY,29.03,21.55,89.67,21,0,8.88,clear sky
284,Svetlaya,RU,46.54,138.33,64.71,95,100,5.73,overcast clouds
285,Almaznyy,RU,48.04,40.05,78.8,31,0,22.37,clear sky
286,Sibolga,ID,1.74,98.78,76.44,82,99,1.54,moderate rain
287,Barillas,GT,15.8,-91.32,63.03,93,100,1.88,heavy intensity rain
288,Mwingi,KE,-0.93,38.06,64.22,68,49,8.75,scattered clouds
289,Acapulco,MX,16.86,-99.89,87.8,66,40,11.41,scattered clouds
290,Intipuca,SV,13.2,-88.05,85.75,63,98,4.68,overcast clouds
291,Aleksandrovka,UA,46.84,32.76,77.0,41,99,4.47,overcast clouds
292,Hovd,MN,48.01,91.64,63.07,37,80,2.98,broken clouds
293,Port Hawkesbury,CA,45.62,-61.35,73.4,83,90,12.75,overcast clouds
294,Qena,EG,26.16,32.72,91.4,33,0,8.08,clear sky
295,Russkaya Polyana,UA,49.42,31.92,70.45,64,100,8.37,light rain
